MUNICIPIO,departamento,SUPERFICIE SEMBRADA (Mz),SUPERFICIE COSECHADA PARA GRANO Y SEMILLA (Mz),PRODUCCIÓN PARA GRANO Y SEMILLA (QQ),ANIO,ORIGEN_DATOS,shape_leng,shape_area,gid
CINQUERA,CABANAS,263.44,246.48,2211,2027,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.2710217267430,0.002670870324760,108
SENSUNTEPEQUE,CABANAS,1108.37,1071.57,10975,2224,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,1.4059291000400,0.025893112802100,109
VICTORIA,CABANAS,603.39,598.18,5762,2250,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.5614953776490,0.012292261569600,110
GUACOTECTI,CABANAS,196.70,187.46,2005,2067,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.2951533127180,0.002367406370650,111
SANTA CLARA,SAN VICENTE,509.47,508.36,6283,2205,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.5849495977640,0.010562565975000,112
SAN ESTEBAN CATARINA,SAN VICENTE,815.61,811.47,10330,2152,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.5222377877940,0.007074394192180,113
SAN VICENTE,SAN VICENTE,2988.81,2949.04,37889,2202,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.9791628925400,0.023221873498200,114
LOLOTIQUILLO,MORAZAN,109.18,109.18,1135,2099,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.2176425132340,0.002321149830950,115
CHILANGA,MORAZAN,241.22,238.63,2833,2023,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.3609255588550,0.004621201181420,116
GUATAJIAGUA,MORAZAN,297.15,286.12,3444,2070,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.4316313493850,0.006328820325570,117
SAN FRANCISCO GOTERA,MORAZAN,18.66,18.66,227,2156,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.5638867014470,0.006072523409970,118
SENSEMBRA,MORAZAN,27.40,27.40,317,2223,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.2899152752850,0.002063743205610,119
YAMABAL,MORAZAN,62.07,61.70,649,2251,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.4813014436150,0.003369195765230,120
SAN CARLOS,MORAZAN,0.00,0.00,0,2147,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.2862113719060,0.003336484778980,121
EL DIVISADERO,MORAZAN,12.34,12.34,95,2054,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.4232069604260,0.004403660366750,122
JOCORO,MORAZAN,15.64,15.64,219,2084,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.4271233754570,0.006347514826850,123
CORINTO,MORAZAN,277.37,275.25,3244,2042,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.5866370458060,0.009387389232030,124
SAN ALEJO,LA UNION,30.76,30.60,361,2138,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.8256110485140,0.021680115891200,125
PASAQUINA,LA UNION,0.49,0.49,3,2127,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.9039089631730,0.018831004081600,126
