MUNICIPIO,departamento,SUPERFICIE SEMBRADA,SUPERFICIE SEMBRADA CON SEMILLA MEJORADA,SUPERFICIE COSECHADA PARA GRANO Y SEMILLA,SUPERFICIE COSECHADA PARA FORRAJE VERDE (Mz),SUPERFICIE COSECHADA PARA ELOTE (Mz),PRODUCCIÓN PARA GRANO Y SEMILLA (QQ),PRODUCCIÓN PARA FORRAJE VERDE (TM),PRODUCCIÓN PARA ELOTE (CIENTOS),ANIO,ORIGEN_DATOS,shape_leng,shape_area,gid
GUATAJIAGUA,MORAZAN,1172.54,258.13,1128.59,11.80,2.33,30143,339,690,2070,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.4316313493850,0.006328820325570,117
SAN FRANCISCO GOTERA,MORAZAN,914.88,318.07,797.53,97.73,2.01,18631,1925,579,2156,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.5638867014470,0.006072523409970,118
SENSEMBRA,MORAZAN,364.91,60.64,360.22,,,8490,,,2223,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.2899152752850,0.002063743205610,119
YAMABAL,MORAZAN,711.27,279.40,685.04,20.96,1.17,19418,640,318,2251,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.4813014436150,0.003369195765230,120
SAN CARLOS,MORAZAN,686.45,233.29,649.75,26.44,,16995,539,,2147,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.2862113719060,0.003336484778980,121
EL DIVISADERO,MORAZAN,1013.36,393.16,993.67,16.48,,27498,407,,2054,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.4232069604260,0.004403660366750,122
JOCORO,MORAZAN,1187.59,562.03,1092.42,62.76,1.48,33810,1410,575,2084,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.4271233754570,0.006347514826850,123
CONCHAGUA,MORAZAN,4134.44,1450.32,4073.55,16.84,28.67,120792,437,6897,2042,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.5866370458060,0.009387389232030,124
SAN ALEJO,LA UNION,3486.87,642.67,3389.80,33.09,5.04,97071,522,1169,2138,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.8256110485140,0.021680115891200,125
PASAQUINA,LA UNION,2711.76,617.45,2644.62,57.38,,67291,1888,,2127,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.9039089631730,0.018831004081600,126
